instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,1.0,0.0008009052401177165
0,1,3,1.0,0.00031813102910297435
0,1,4,0.0,0.0
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,0.0,0.0
0,1,9,2.0,0.08097174707508756
0,1,10,0.0,0.0
0,1,11,1.0,0.0003022244776478256
0,1,12,1.0,0.03217225885613059
0,1,13,0.0,0.0
0,1,14,0.0,0.0
0,1,15,1.0,0.09446824413773763
0,1,16,2.0,0.09471440786368478
0,1,17,2.0,0.046138082237810504
0,1,18,0.0,0.0
0,1,19,0.0,0.0
0,1,20,2.0,0.012103511301456869
0,1,21,1.0,0.06597069817787193
0,1,22,1.0,0.012779281874799289
0,1,23,2.0,0.014615811443340308
0,1,24,0.0,0.0
0,1,25,2.0,0.27399365633068484
0,1,26,1.0,0.21463876394293727
0,1,27,1.0,0.2503440897424549
0,1,28,2.0,0.04077094951216429
0,1,29,3.0,0.06217458537283961
0,1,30,1.0,0.053733545982740286
0,1,31,2.0,0.16373947519225218
0,1,32,1.0,0.012779281874799289
0,1,33,2.0,0.4337166552087143
0,1,34,1.0,0.07309772651287749
0,1,35,4.0,0.22722515299111384
0,1,36,4.0,0.7455995190396651
0,1,37,5.0,0.0718563252142205
0,1,38,7.0,0.6122586733780293
0,1,39,0.0,0.0
0,1,40,8.0,0.3960256329414438
0,1,41,7.0,0.32717304626415916
0,1,42,10.0,0.5176234883441756
0,1,43,10.0,0.48209529991278743
0,1,44,10.0,0.7401528067250976
0,1,45,11.0,0.8189127261605379
0,1,46,12.0,0.7943670445512329
0,1,47,11.0,0.7001679605461338
0,1,48,13.0,0.8466742610899224
0,1,49,13.0,0.8178036370807352
0,1,50,13.0,0.838277102984939
0,1,51,12.0,0.7300271961114168
0,1,52,12.0,0.887043530744698
0,1,53,13.0,0.81385067756584
0,1,54,12.0,0.6562520337949264
0,1,55,13.0,0.9502864488707535
0,1,56,13.0,0.8990464258548091
0,1,57,13.0,0.83796869872289
0,1,58,12.0,0.7897998746335984
0,1,59,12.0,0.7719673139393609
0,1,60,12.0,0.9083629135122128
0,1,61,13.0,0.843055851667407
0,1,62,12.0,0.8908343839291736
0,1,63,12.0,0.8484019957841784
0,1,64,13.0,0.86494479021069
0,1,65,9.0,0.7753778135384412
0,1,66,13.0,0.9091154115249351
0,1,67,12.0,0.8909802196830516
0,1,68,11.0,0.8461755859575198
0,1,69,12.0,0.7568527864630579
0,1,70,12.0,0.8066969969568403
0,1,71,12.0,0.9409732902318372
0,1,72,12.0,0.7727822518288666
0,1,73,12.0,0.7280839404355828
0,1,74,12.0,0.7368389257231089
0,1,75,12.0,0.7853982552296465
0,1,76,12.0,0.8178280889868961
0,1,77,12.0,0.8516989816965086
0,1,78,11.0,0.6259682797148879
0,1,79,12.0,0.7133114547155293
0,1,80,13.0,0.9186154137873428
0,1,81,13.0,0.9233678898700756
0,1,82,13.0,0.896118388468309
0,1,83,12.0,0.8521792758285669
0,1,84,12.0,0.7732909647698901
0,1,85,12.0,0.9378306559769256
0,1,86,12.0,0.8739481439272148
0,1,87,12.0,0.8710720604679566
0,1,88,12.0,0.7727771402388857
0,1,89,12.0,0.7673342552347912
0,1,90,12.0,0.9085633200278321
0,1,91,13.0,0.7696074485509123
0,1,92,12.0,0.8969210081992818
0,1,93,13.0,0.8943024818979386
0,1,94,11.0,0.5346085703431784
0,1,95,13.0,0.8162006103997187
0,1,96,12.0,0.7601838472780325
0,1,97,12.0,0.7976261208804764
0,1,98,12.0,0.771684835634011
0,1,99,13.0,0.8213688214131496
0,1,100,13.0,0.9313081014507595
0,1,101,13.0,0.8411777788256136
0,1,102,11.0,0.7634890728395258
0,1,103,13.0,0.8343044654646223
0,1,104,13.0,0.9139332943854214
0,1,105,13.0,0.8289677261507656
0,1,106,13.0,0.917937885277374
0,1,107,13.0,0.746088408333211
0,1,108,12.0,0.6636078916275779
0,1,109,13.0,0.9457027734381452
0,1,110,13.0,0.8302271750437191
0,1,111,13.0,0.8810523689645073
0,1,112,12.0,0.683925333163313
0,1,113,13.0,0.927848072206311
0,1,114,12.0,0.705278560481006
0,1,115,12.0,0.6144905851918467
0,1,116,12.0,0.6974132124163931
0,1,117,12.0,0.7018376252762192
0,1,118,12.0,0.7717937442101511
0,1,119,12.0,0.6824568618187378
0,1,120,13.0,0.9098696730986356
0,1,121,13.0,0.9380204437843355
0,1,122,12.0,0.7744505878460457
0,1,123,12.0,0.6764689642883162
0,1,124,13.0,0.8377944965743633
0,1,125,13.0,0.8459330001873744
0,1,126,12.0,0.8321935098082417
0,1,127,12.0,0.6455353348420407
0,1,128,12.0,0.8359449559685908
0,1,129,11.0,0.8018052781438487
0,1,130,12.0,0.8614681702530577
0,1,131,12.0,0.6468911913722056
0,1,132,12.0,0.847291862588473
0,1,133,13.0,0.8754266116999133
0,1,134,12.0,0.7634281762741727
0,1,135,12.0,0.6394864374735981
0,1,136,12.0,0.767932642587263
0,1,137,12.0,0.9195654160643885
0,1,138,13.0,0.7944801591102088
0,1,139,12.0,0.8777843845698917
0,1,140,12.0,0.9209968604269996
0,1,141,12.0,0.7406142507551047
0,1,142,12.0,0.8129845849539425
0,1,143,13.0,0.8875579437875705
0,1,144,12.0,0.8942052632091088
0,1,145,12.0,0.88631393102658
0,1,146,13.0,0.8927225144081445
0,1,147,12.0,0.8458054856844642
0,1,148,13.0,0.7234853101169112
0,1,149,12.0,0.7545593631749263
0,1,150,12.0,0.5763073551989664
0,1,151,13.0,0.7625625945702054
0,1,152,13.0,0.7510194592873963
0,1,153,12.0,0.7357798703897882
0,1,154,12.0,0.8794339097078041
0,1,155,13.0,0.7904697516454027
0,1,156,12.0,0.891993043477646
0,1,157,13.0,0.9467055961787298
0,1,158,12.0,0.8501803378255574
0,1,159,12.0,0.7479808834508181
0,1,160,12.0,0.7112937155659896
0,1,161,12.0,0.8281287520767009
0,1,162,12.0,0.79213543892838
