instance,task,episode,return,discounted_return
0,1,1,1.0,0.00013301705253215742
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,1.0,0.0006866761302459271
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,1.0,0.01926271979590445
0,1,9,0.0,0.0
0,1,10,0.0,0.0
0,1,11,0.0,0.0
0,1,12,2.0,0.05838134266668927
0,1,13,0.0,0.0
0,1,14,1.0,0.009393946474176
0,1,15,0.0,0.0
0,1,16,2.0,0.10474583182942192
0,1,17,0.0,0.0
0,1,18,0.0,0.0
0,1,19,0.0,0.0
0,1,20,1.0,0.0005593019998111216
0,1,21,1.0,0.0005887389471696016
0,1,22,0.0,0.0
0,1,23,1.0,0.01651537438501358
0,1,24,0.0,0.0
0,1,25,2.0,0.08152616792731933
0,1,26,0.0,0.0
0,1,27,1.0,0.0005593019998111216
0,1,28,1.0,0.007268856709612724
0,1,29,1.0,0.048494525249423104
0,1,30,2.0,0.013431624198532919
0,1,31,1.0,0.01926271979590445
0,1,32,0.0,0.0
0,1,33,2.0,0.2434059196522283
0,1,34,1.0,0.006232136021404208
0,1,35,1.0,0.004581192650606184
0,1,36,0.0,0.0
0,1,37,2.0,0.22841103465484652
0,1,38,0.0,0.0
0,1,39,3.0,0.2922745830834178
0,1,40,0.0,0.0
0,1,41,2.0,0.024086663111562812
0,1,42,2.0,0.028854465510515497
0,1,43,1.0,0.11598222130000556
0,1,44,0.0,0.0
0,1,45,0.0,0.0
0,1,46,2.0,0.14065247434616243
0,1,47,3.0,0.045192213240322486
0,1,48,1.0,6.828325085855701e-05
0,1,49,2.0,0.11039689378449828
0,1,50,2.0,0.349485875438582
0,1,51,1.0,0.009393946474176
0,1,52,4.0,0.15154010096563092
0,1,53,1.0,0.06944284018723361
0,1,54,1.0,0.11018311023500528
0,1,55,3.0,0.10781579823885046
0,1,56,0.0,0.0
0,1,57,4.0,0.02918692129589616
0,1,58,4.0,0.060923726744449236
0,1,59,4.0,0.21574456709809228
0,1,60,4.0,0.31288986793665335
