instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,1.0,0.001915489806775088
0,1,3,1.0,0.0012707750737405313
0,1,4,0.0,0.0
0,1,5,3.0,0.03667653428220521
0,1,6,3.0,0.17844647894291862
0,1,7,11.0,0.4385640292343422
0,1,8,12.0,0.5779391653019185
0,1,9,12.0,0.6976097674408573
0,1,10,12.0,0.7398140814272495
0,1,11,13.0,0.9276360065551194
0,1,12,12.0,0.6161136317189216
0,1,13,12.0,0.7122059759843419
0,1,14,13.0,0.854307442733898
0,1,15,12.0,0.8405449495076276
0,1,16,12.0,0.7998980427437461
0,1,17,11.0,0.9105581943970327
0,1,18,13.0,0.6489616884087392
0,1,19,12.0,0.7239837801764596
0,1,20,11.0,0.7979169594110409
0,1,21,12.0,0.8769273395868109
0,1,22,11.0,0.9106728249297632
0,1,23,9.0,0.7532095073160155
0,1,24,12.0,0.7133268098897584
0,1,25,13.0,0.8381022890349694
0,1,26,10.0,0.7183970473848434
0,1,27,10.0,0.49823468552939015
0,1,28,11.0,0.8350666040609205
0,1,29,12.0,0.5641864921887954
0,1,30,10.0,0.8055777133169383
0,1,31,11.0,0.8708026573877958
0,1,32,11.0,0.5295263411046497
0,1,33,12.0,0.8323299012651271
0,1,34,12.0,0.8775413137740511
0,1,35,12.0,0.8636085914901211
0,1,36,11.0,0.7403931187098309
0,1,37,10.0,0.5616576424903982
0,1,38,9.0,0.32250630585369505
0,1,39,5.0,0.2259143230481859
0,1,40,5.0,0.23062851115667135
0,1,41,4.0,0.06391618440783649
0,1,42,9.0,0.271318722974343
0,1,43,7.0,0.17088845787772558
0,1,44,8.0,0.3007683030205232
0,1,45,7.0,0.24800205395121436
0,1,46,4.0,0.28680808016897413
0,1,47,6.0,0.07713566840554983
0,1,48,4.0,0.13662719248264385
0,1,49,8.0,0.44933164912174656
0,1,50,8.0,0.4843583231793907
0,1,51,9.0,0.5579791552861757
0,1,52,5.0,0.34882630005710336
0,1,53,7.0,0.11223201703326909
0,1,54,12.0,0.474586361710195
0,1,55,12.0,0.867942990817065
0,1,56,11.0,0.7373860586022933
0,1,57,13.0,0.9283273792173291
0,1,58,12.0,0.8238516619821565
0,1,59,13.0,0.9217651503794371
0,1,60,11.0,0.6414009435694663
0,1,61,12.0,0.7876728225930427
0,1,62,12.0,0.6377439497006677
0,1,63,12.0,0.8846699199790692
0,1,64,12.0,0.4851141351318454
0,1,65,12.0,0.8391877142617956
0,1,66,12.0,0.6693430193959289
0,1,67,12.0,0.7290381261716433
0,1,68,12.0,0.8666269227451012
0,1,69,12.0,0.9323859196419039
0,1,70,12.0,0.8383427753430343
0,1,71,12.0,0.5314256299757933
0,1,72,13.0,0.9237215198087896
0,1,73,12.0,0.7808906488503176
0,1,74,12.0,0.8306012348461546
0,1,75,11.0,0.7809323857212227
0,1,76,12.0,0.561812350051611
0,1,77,12.0,0.7445496394027598
0,1,78,12.0,0.9366648640788645
0,1,79,12.0,0.7322332369901174
0,1,80,12.0,0.6639711726473654
0,1,81,11.0,0.6919690574974973
0,1,82,7.0,0.42171950198164876
0,1,83,9.0,0.617877201891742
0,1,84,5.0,0.41112542571879684
0,1,85,6.0,0.1530160889150158
0,1,86,8.0,0.5217791187441884
0,1,87,7.0,0.44432838151809106
0,1,88,8.0,0.2440625770635354
0,1,89,8.0,0.6136192692358949
0,1,90,2.0,0.014664639168180551
0,1,91,3.0,0.15043805958219267
0,1,92,4.0,0.3293402335210733
0,1,93,2.0,0.0016295568142832262
0,1,94,8.0,0.2641408616589454
0,1,95,7.0,0.41435628885501286
0,1,96,9.0,0.41691522060759795
0,1,97,10.0,0.5180669018672308
0,1,98,12.0,0.8408109213814333
0,1,99,12.0,0.8045437216774233
0,1,100,12.0,0.677017756664258
0,1,101,12.0,0.7619779654379385
0,1,102,12.0,0.816589616956371
0,1,103,12.0,0.6536997553850747
0,1,104,12.0,0.7247654964310071
0,1,105,13.0,0.7577665429890685
0,1,106,12.0,0.7970063510667165
0,1,107,12.0,0.8237208838016451
0,1,108,12.0,0.5407476157291425
0,1,109,11.0,0.6413132139359913
0,1,110,12.0,0.8170481028996108
0,1,111,12.0,0.867222351283742
0,1,112,12.0,0.5885508269247671
0,1,113,12.0,0.7755455346528044
0,1,114,11.0,0.8877129209130037
0,1,115,12.0,0.8371484987941596
0,1,116,13.0,0.8428899586308717
0,1,117,13.0,0.8218019313581231
0,1,118,12.0,0.7416482610136054
0,1,119,12.0,0.7313943070133407
0,1,120,12.0,0.8984402537217724
0,1,121,11.0,0.8468534396786528
0,1,122,11.0,0.6134951533539618
0,1,123,11.0,0.7071579868682362
0,1,124,10.0,0.7838485661500285
0,1,125,11.0,0.5183471351787285
0,1,126,11.0,0.815464337781036
0,1,127,11.0,0.6827719447920695
0,1,128,10.0,0.7273393675160589
0,1,129,11.0,0.8310342065414201
0,1,130,13.0,0.7647452146524958
0,1,131,12.0,0.8861964778104947
0,1,132,11.0,0.856435831362313
0,1,133,12.0,0.8517245391180979
0,1,134,11.0,0.8413425580440973
0,1,135,13.0,0.9184278444219268
0,1,136,11.0,0.5980867314217997
0,1,137,12.0,0.7701919002203925
0,1,138,13.0,0.8155938893050763
0,1,139,12.0,0.8972326062874285
0,1,140,10.0,0.777461151131673
0,1,141,12.0,0.7061920393877315
0,1,142,10.0,0.7383469404288465
0,1,143,8.0,0.7495387578276779
0,1,144,6.0,0.4389519141024878
0,1,145,4.0,0.23858733053497921
0,1,146,6.0,0.30182809939599314
0,1,147,3.0,0.07037379720435052
0,1,148,3.0,0.12935857555139083
0,1,149,3.0,0.04081160312998458
0,1,150,10.0,0.4615563193340076
0,1,151,13.0,0.9508107047770838
0,1,152,11.0,0.7037990261491859
0,1,153,12.0,0.6132995401207545
0,1,154,11.0,0.6637283581453021
0,1,155,13.0,0.6841818511773041
0,1,156,12.0,0.7939471566069368
0,1,157,12.0,0.6084355938399939
0,1,158,11.0,0.6987403871065075
0,1,159,13.0,0.9273379218674177
