instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,0.0,0.0
0,1,3,1.0,0.0053432776213514326
0,1,4,0.0,0.0
0,1,5,1.0,0.01926271979590445
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,0.0,0.0
0,1,9,1.0,0.0005593019998111216
0,1,10,1.0,0.04157799358572413
0,1,11,2.0,0.019334638046015103
0,1,12,0.0,0.0
0,1,13,1.0,0.0001400179500338499
0,1,14,3.0,0.2662241722068597
0,1,15,3.0,0.08797350544179584
0,1,16,3.0,0.08123541011625109
0,1,17,1.0,0.0007608599781118307
0,1,18,3.0,0.17547599951352785
0,1,19,2.0,0.18741439325993148
0,1,20,2.0,0.04230081056493037
0,1,21,3.0,0.0056563714993407
0,1,22,4.0,0.09915661467039671
0,1,23,3.0,0.012279393299458857
0,1,24,6.0,0.28331371220080603
0,1,25,5.0,0.04676501887529774
0,1,26,8.0,0.4336605056059897
0,1,27,7.0,0.2564548766950617
0,1,28,8.0,0.31814057367367293
0,1,29,8.0,0.384399160112972
0,1,30,8.0,0.5300895668940437
0,1,31,9.0,0.4928500634300702
0,1,32,8.0,0.4294997500001553
0,1,33,9.0,0.4748505851375111
0,1,34,8.0,0.43535014626358015
0,1,35,8.0,0.44114330270864716
0,1,36,9.0,0.4823195918741052
0,1,37,9.0,0.5321200467724686
0,1,38,8.0,0.4807560074638754
0,1,39,9.0,0.4385060369654072
0,1,40,9.0,0.5408268982603898
0,1,41,9.0,0.5171825271267857
0,1,42,8.0,0.42704023111745487
0,1,43,8.0,0.42769441405187714
0,1,44,8.0,0.48062638076928493
0,1,45,9.0,0.4039364798768142
0,1,46,8.0,0.39892121113283063
0,1,47,9.0,0.4709814468715535
0,1,48,9.0,0.4447805230806625
0,1,49,8.0,0.45164886131283666
0,1,50,8.0,0.4597241534840948
0,1,51,8.0,0.5165221412809515
0,1,52,8.0,0.4091417015664426
0,1,53,9.0,0.46288869806749317
0,1,54,9.0,0.41611886125817715
0,1,55,9.0,0.40324439605115703
0,1,56,8.0,0.39625855634524965
0,1,57,9.0,0.5300914362080535
0,1,58,8.0,0.47161114646741464
0,1,59,8.0,0.5208652803963839
0,1,60,9.0,0.5213623346540679
0,1,61,8.0,0.4733556622710726
0,1,62,9.0,0.4797037441728554
0,1,63,9.0,0.543871933535643
0,1,64,9.0,0.5485036739910616
0,1,65,9.0,0.5497278212713146
0,1,66,8.0,0.5422102032291173
0,1,67,8.0,0.4422172714314072
0,1,68,8.0,0.44612391911493465
0,1,69,9.0,0.49663003821502333
0,1,70,9.0,0.4566525338095124
0,1,71,8.0,0.4698478227270193
0,1,72,8.0,0.5304744600152683
0,1,73,8.0,0.39385118735926444
0,1,74,8.0,0.4649417044835363
0,1,75,9.0,0.5336201653726533
0,1,76,9.0,0.5015522497200633
0,1,77,8.0,0.5106926115564425
0,1,78,9.0,0.5236906349601655
0,1,79,8.0,0.44354435653881846
0,1,80,8.0,0.4985439797157629
0,1,81,9.0,0.5033887834909917
0,1,82,8.0,0.5137005751505086
0,1,83,9.0,0.5099735541033529
0,1,84,8.0,0.45700649128052334
0,1,85,8.0,0.43251666191357846
0,1,86,9.0,0.5474305823703547
0,1,87,9.0,0.5508901406561963
0,1,88,8.0,0.4161593501184191
0,1,89,8.0,0.5355448036910685
0,1,90,9.0,0.5100084867174407
0,1,91,9.0,0.45179882924017106
0,1,92,9.0,0.5072701243152923
0,1,93,9.0,0.43646911309598796
0,1,94,9.0,0.5488659751206051
0,1,95,8.0,0.4473511713877369
0,1,96,9.0,0.4248835875350853
0,1,97,9.0,0.5498621526772336
0,1,98,9.0,0.4678025238388791
0,1,99,8.0,0.5309666855565509
0,1,100,9.0,0.556335673518915
0,1,101,8.0,0.5002433485926726
0,1,102,8.0,0.4715265674875577
0,1,103,9.0,0.47719608257850704
0,1,104,9.0,0.48200843536739535
0,1,105,9.0,0.4824640701209512
0,1,106,8.0,0.42675215023068447
0,1,107,8.0,0.3886539012395392
0,1,108,9.0,0.40770722658965736
0,1,109,9.0,0.5462848270700691
0,1,110,8.0,0.3523729078037685
0,1,111,8.0,0.4138766992796091
0,1,112,9.0,0.38705587395778995
0,1,113,8.0,0.34879448297849414
0,1,114,9.0,0.4044634336510377
0,1,115,8.0,0.45673086259244766
0,1,116,8.0,0.4256837218438891
0,1,117,8.0,0.4405354720133019
0,1,118,9.0,0.4973215628685542
0,1,119,9.0,0.4823614148262495
0,1,120,9.0,0.5356662218583638
0,1,121,8.0,0.34121481726368263
0,1,122,8.0,0.4947000223023792
0,1,123,8.0,0.5460693289095798
0,1,124,8.0,0.5404697705640297
0,1,125,9.0,0.5268180581406838
0,1,126,9.0,0.5226901389364983
0,1,127,8.0,0.39666212073434665
0,1,128,8.0,0.3532035813473685
0,1,129,9.0,0.5072775637141701
0,1,130,9.0,0.41491350277338795
0,1,131,9.0,0.48514021372763544
0,1,132,8.0,0.543522746828856
0,1,133,9.0,0.48331987719383634
0,1,134,8.0,0.36257433731222144
0,1,135,8.0,0.531154623494334
0,1,136,9.0,0.5387124815888064
0,1,137,8.0,0.4462149848847741
0,1,138,8.0,0.39390176817853656
0,1,139,9.0,0.5271265122196097
0,1,140,8.0,0.38671096621963297
0,1,141,8.0,0.4084773488757011
0,1,142,9.0,0.5207699631322952
0,1,143,8.0,0.5434245469533662
0,1,144,8.0,0.5176905178959385
0,1,145,8.0,0.5380729277651218
0,1,146,8.0,0.37971767978237686
0,1,147,8.0,0.3926082741132523
0,1,148,9.0,0.48856911933960046
0,1,149,9.0,0.4410045577625828
0,1,150,8.0,0.4702402039987791
0,1,151,8.0,0.38549400872425865
0,1,152,8.0,0.43244362189668234
0,1,153,9.0,0.4338147347128593
0,1,154,8.0,0.4782035796913165
0,1,155,8.0,0.4842374910423657
0,1,156,9.0,0.4986533291608092
0,1,157,9.0,0.5125988461620118
0,1,158,8.0,0.4195396992003403
0,1,159,9.0,0.5586424138097121
0,1,160,9.0,0.48626273840505957
0,1,161,8.0,0.4935074546244501
0,1,162,9.0,0.5005308909442242
0,1,163,9.0,0.44108908392104224
0,1,164,9.0,0.48327941146471076
0,1,165,9.0,0.47739301789853916
0,1,166,8.0,0.5216587045221753
0,1,167,9.0,0.5570062922880814
0,1,168,9.0,0.47790702230966803
0,1,169,9.0,0.40963883935284034
0,1,170,8.0,0.42602891990026265
0,1,171,9.0,0.4787228264365749
0,1,172,8.0,0.4954373232863509
0,1,173,8.0,0.40608030854551275
0,1,174,9.0,0.5262892287887726
0,1,175,9.0,0.4741309035059153
0,1,176,9.0,0.5404119890155166
0,1,177,8.0,0.40840188960827173
0,1,178,8.0,0.46305860901055274
0,1,179,8.0,0.4348927133353381
0,1,180,9.0,0.48777279442693
0,1,181,9.0,0.5260057762161291
0,1,182,9.0,0.4483660758969682
0,1,183,8.0,0.4487767009661041
0,1,184,8.0,0.4493819509953695
0,1,185,8.0,0.43795839349264704
0,1,186,9.0,0.555548160681437
0,1,187,8.0,0.36775805642172615
0,1,188,8.0,0.3684103176426965
0,1,189,9.0,0.5290972319975457
0,1,190,8.0,0.38949244523302345
0,1,191,8.0,0.38568898824328357
