instance,task,episode,return,discounted_return
0,1,1,1.06,0.0031054253426371697
0,1,2,0.09999999999999999,0.006407856723946085
0,1,3,0.03,4.451500903716981e-05
0,1,4,0.07,0.0010931274212843062
0,1,5,1.1,0.014952366408499219
0,1,6,1.03,0.00937592460135284
0,1,7,1.13,0.012519555630183381
0,1,8,0.08,0.008380441013817052
0,1,9,1.08,0.0005250082069040402
0,1,10,1.08,0.0019730066194706916
0,1,11,1.09,0.01108410930204145
0,1,12,0.03,0.0003636022210909056
0,1,13,0.09999999999999999,0.006405623146102664
0,1,14,0.03,0.015454334057157175
0,1,15,1.08,0.04269129767818628
0,1,16,2.09,0.015445743426760692
0,1,17,0.12999999999999998,0.0040392059094088275
0,1,18,0.060000000000000005,0.003683131471013122
0,1,19,0.04,0.00037434870934816207
0,1,20,1.09,0.09578589295189266
0,1,21,0.08,0.0007458212701310168
0,1,22,2.1299999999999994,0.02273486928580582
0,1,23,1.01,6.907967308755316e-05
0,1,24,1.11,0.1462426517451487
0,1,25,2.07,0.05117064102060787
0,1,26,0.07,0.014392669389550259
0,1,27,0.04,0.0006776927305796165
0,1,28,1.07,0.006339168184087825
0,1,29,1.04,0.013641063572115857
0,1,30,3.08,0.04465504214084402
0,1,31,1.12,0.0018575548699056187
0,1,32,1.05,0.0002965408664936864
0,1,33,1.08,0.09027310846526247
0,1,34,1.08,0.07455439725340025
0,1,35,1.09,0.01037154793246746
0,1,36,2.0699999999999994,0.018362150110620867
0,1,37,1.05,0.00829976708982546
0,1,38,2.08,0.15825448290574892
0,1,39,2.09,0.011934880807305578
0,1,40,1.06,0.000396434266889891
0,1,41,2.15,0.008013732607153653
0,1,42,3.05,0.21673592286355636
0,1,43,2.0700000000000003,0.017839551366934693
0,1,44,2.0699999999999994,0.03607633076020741
0,1,45,2.0999999999999996,0.006739811566233081
0,1,46,2.0300000000000002,0.010180393888340364
0,1,47,1.08,0.00513021787936859
0,1,48,3.1399999999999992,0.14606629565911436
0,1,49,2.0599999999999996,0.013065549202048601
0,1,50,3.0399999999999996,0.06466391352165557
0,1,51,2.06,0.0598734528854771
0,1,52,2.08,0.07099026359293638
0,1,53,3.0799999999999996,0.09905051693925263
0,1,54,2.07,0.017704488345027216
0,1,55,2.0599999999999996,0.1068502892211962
0,1,56,3.119999999999999,0.2038561576563208
0,1,57,2.059999999999999,0.03587987624448849
0,1,58,3.07,0.03656608184496413
0,1,59,3.0899999999999985,0.11472105390392816
0,1,60,2.08,0.05574214178131992
0,1,61,3.099999999999999,0.0707974894310114
0,1,62,4.069999999999999,0.14189658813864617
0,1,63,2.0700000000000003,0.013465690394896096
0,1,64,3.09,0.1352242977179361
0,1,65,4.0699999999999985,0.1527659055511153
0,1,66,3.0599999999999996,0.050195369369481914
0,1,67,3.119999999999999,0.036015712233028546
0,1,68,4.1099999999999985,0.22193132037940383
0,1,69,2.05,0.03608153358873573
0,1,70,4.159999999999998,0.18521843059796458
0,1,71,4.149999999999999,0.34429432402178767
0,1,72,5.119999999999998,0.3659221722754522
0,1,73,3.0499999999999994,0.13954857338579238
0,1,74,4.0699999999999985,0.05665064911139409
0,1,75,3.13,0.06004450298987779
0,1,76,4.139999999999999,0.2639066930981791
0,1,77,4.159999999999998,0.1574934499796202
0,1,78,4.119999999999998,0.10293420271195727
0,1,79,4.089999999999999,0.10298114224766997
0,1,80,4.149999999999998,0.1696021555534012
0,1,81,3.09,0.1422686771577453
0,1,82,5.179999999999997,0.4263358537276394
0,1,83,5.119999999999998,0.10064646332271698
0,1,84,5.119999999999999,0.2835349152792691
0,1,85,6.159999999999998,0.3315711940044023
0,1,86,5.129999999999998,0.22988049140251368
0,1,87,6.139999999999999,0.32070698033745426
0,1,88,5.169999999999998,0.13389446164784993
0,1,89,5.1,0.3717895233255811
0,1,90,6.179999999999996,0.2890999624168474
0,1,91,5.149999999999999,0.24654859075568764
0,1,92,6.159999999999998,0.39377638840914564
0,1,93,6.179999999999998,0.25428698501251773
0,1,94,5.139999999999999,0.15009508868873725
0,1,95,6.169999999999997,0.09038906234746134
0,1,96,6.239999999999996,0.2320739128958613
0,1,97,7.179999999999998,0.3902926599360697
0,1,98,7.239999999999995,0.35389861938881834
0,1,99,7.269999999999996,0.34674349220898426
0,1,100,6.2499999999999964,0.2840351212292167
0,1,101,8.329999999999995,0.39615612953091234
0,1,102,7.229999999999996,0.24456015025832234
0,1,103,6.299999999999995,0.41568990500377434
0,1,104,6.209999999999997,0.11588841902537794
0,1,105,8.269999999999996,0.4962246654072169
0,1,106,8.289999999999996,0.27521735842282896
0,1,107,7.2499999999999964,0.3742145900369845
0,1,108,7.289999999999996,0.4559596873944614
0,1,109,7.319999999999995,0.40202135089368907
