instance,task,episode,return,discounted_return
0,1,1,0.0,0.0
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,0.0,0.0
0,1,5,0.0,0.0
0,1,6,0.0,0.0
0,1,7,0.0,0.0
0,1,8,0.0,0.0
0,1,9,0.0,0.0
0,1,10,0.0,0.0
0,1,11,0.0,0.0
0,1,12,0.0,0.0
0,1,13,0.0,0.0
0,1,14,0.0,0.0
0,1,15,0.0,0.0
0,1,16,0.0,0.0
0,1,17,0.0,0.0
0,1,18,0.0,0.0
0,1,19,0.0,0.0
0,1,20,0.0,0.0
0,1,21,0.0,0.0
0,1,22,0.0,0.0
0,1,23,0.0,0.0
0,1,24,0.0,0.0
0,1,25,1.0,0.004581192650606184
0,1,26,1.0,0.0001400179500338499
0,1,27,0.0,0.0
0,1,28,1.0,4.088370462029882e-05
0,1,29,1.0,0.00020050189330723204
0,1,30,0.0,0.0
0,1,31,1.0,3.6897543419819684e-05
0,1,32,1.0,9.777975663122851e-05
0,1,33,0.0,0.0
0,1,34,0.0,0.0
0,1,35,0.0,0.0
0,1,36,1.0,0.0027429292656853013
0,1,37,1.0,3.50526662488287e-05
0,1,38,1.0,0.007651428115381815
0,1,39,1.0,0.001915489806775088
0,1,40,1.0,0.012140317781059324
0,1,41,1.0,0.001337657972358454
0,1,42,3.0,0.09439790168762384
0,1,43,2.0,0.0020811741480788798
0,1,44,0.0,0.0
0,1,45,3.0,0.012377717217786376
0,1,46,2.0,0.02042201018480739
0,1,47,3.0,0.021555660579804042
0,1,48,4.0,0.019920950759118143
0,1,49,3.0,0.42707367186569944
0,1,50,6.0,0.10622161982872604
0,1,51,8.0,0.470264329751577
0,1,52,9.0,0.5330378189641011
0,1,53,9.0,0.5360284982701023
0,1,54,8.0,0.43006484657830246
0,1,55,8.0,0.4788195299615032
0,1,56,9.0,0.4120087123455424
0,1,57,9.0,0.5455327283646453
0,1,58,8.0,0.4724704155420493
0,1,59,8.0,0.39768553584965116
0,1,60,8.0,0.44987363918609824
0,1,61,9.0,0.5104223776387982
0,1,62,6.0,0.3213275950263771
0,1,63,8.0,0.5045833950577187
0,1,64,9.0,0.4693977682401745
0,1,65,8.0,0.42178329727315284
0,1,66,8.0,0.4911742075391882
0,1,67,7.0,0.5064249824374915
0,1,68,8.0,0.4709042156217482
0,1,69,8.0,0.35457378870755046
0,1,70,8.0,0.4591242636832371
0,1,71,8.0,0.47799445892675896
0,1,72,8.0,0.4900950395120034
0,1,73,8.0,0.39475343761699444
0,1,74,8.0,0.40742787205807696
0,1,75,9.0,0.45094608077025733
0,1,76,9.0,0.5423792699398544
0,1,77,8.0,0.4196344817486083
0,1,78,9.0,0.4988381880773026
0,1,79,8.0,0.3110439707823727
0,1,80,8.0,0.35150462806271116
0,1,81,8.0,0.41276644337111895
0,1,82,8.0,0.5102200125985822
0,1,83,8.0,0.4659723988746845
0,1,84,8.0,0.430612089992824
0,1,85,9.0,0.5366856234714908
0,1,86,8.0,0.47986221899184217
0,1,87,8.0,0.35299034101569565
0,1,88,8.0,0.47303611951999547
0,1,89,8.0,0.3507145931220114
0,1,90,8.0,0.4936600562721814
0,1,91,8.0,0.3910928337324638
0,1,92,8.0,0.5173311339302781
0,1,93,9.0,0.49908168833602934
0,1,94,8.0,0.4845440497072736
0,1,95,8.0,0.5152514620780037
0,1,96,9.0,0.48111947364500746
0,1,97,8.0,0.508103739423109
0,1,98,8.0,0.4799143176722667
0,1,99,8.0,0.36793994230843863
0,1,100,8.0,0.4356698181013681
0,1,101,8.0,0.5339205708237673
0,1,102,9.0,0.5544198312530108
0,1,103,8.0,0.5236175462475509
0,1,104,8.0,0.4586379244402294
0,1,105,8.0,0.5428681205314698
0,1,106,9.0,0.5219687540768372
0,1,107,9.0,0.5237018067438487
0,1,108,8.0,0.5152103260838419
0,1,109,8.0,0.4104278737938233
0,1,110,8.0,0.3601998894487606
0,1,111,8.0,0.5118912196153369
0,1,112,8.0,0.38369877217835324
0,1,113,8.0,0.5144724454325289
0,1,114,8.0,0.4015333034070364
0,1,115,8.0,0.26013267158532827
0,1,116,8.0,0.5252267975916909
0,1,117,9.0,0.5140809416464214
0,1,118,7.0,0.40344797992600046
0,1,119,8.0,0.43326988037065217
0,1,120,9.0,0.5376901533596545
0,1,121,9.0,0.47205443055616253
0,1,122,8.0,0.44498241504254626
0,1,123,8.0,0.4767353561326912
0,1,124,8.0,0.39842209732345724
0,1,125,8.0,0.43217296600277244
0,1,126,9.0,0.5246382058988264
0,1,127,9.0,0.5514575244401946
0,1,128,9.0,0.43489847875679016
0,1,129,8.0,0.4908523450574269
0,1,130,8.0,0.43486530132485934
0,1,131,8.0,0.381243692372006
0,1,132,9.0,0.4537811326168183
0,1,133,9.0,0.5302946308852556
0,1,134,8.0,0.4422686823095073
0,1,135,9.0,0.43113570852833905
0,1,136,8.0,0.5170300223628681
0,1,137,9.0,0.49661178773814024
0,1,138,8.0,0.443447000483609
0,1,139,8.0,0.5105744601288351
0,1,140,8.0,0.4850861986607816
0,1,141,8.0,0.41400320646131966
0,1,142,8.0,0.491041655592678
0,1,143,9.0,0.44424183163705033
0,1,144,9.0,0.5534543687870735
0,1,145,8.0,0.3780891383188844
0,1,146,9.0,0.5360481204335045
0,1,147,8.0,0.5283320898718306
0,1,148,9.0,0.5490752846956081
0,1,149,8.0,0.4419249885390118
0,1,150,9.0,0.5296621366464747
0,1,151,8.0,0.47267741010078923
0,1,152,9.0,0.47475532872132775
0,1,153,9.0,0.5455924223162232
0,1,154,8.0,0.3576076055764
0,1,155,8.0,0.5109367403892997
0,1,156,9.0,0.4340345827285925
0,1,157,8.0,0.39186084887613565
0,1,158,8.0,0.4430458128010291
0,1,159,8.0,0.4381263326321924
0,1,160,8.0,0.4431801615427074
0,1,161,9.0,0.4020953720947457
0,1,162,8.0,0.5299249566406017
0,1,163,8.0,0.5163777554597881
0,1,164,8.0,0.4231324635757166
0,1,165,9.0,0.49793492295341935
0,1,166,8.0,0.5234443368565129
0,1,167,8.0,0.3364814746345305
0,1,168,9.0,0.4312518238077929
0,1,169,8.0,0.5208513589467515
0,1,170,8.0,0.25665471213169927
0,1,171,9.0,0.49121188210654565
0,1,172,8.0,0.4615448960048529
0,1,173,9.0,0.5465161672663267
0,1,174,8.0,0.5265788627004724
0,1,175,8.0,0.2923554348137628
0,1,176,9.0,0.5113549805468869
0,1,177,9.0,0.5471128411498284
0,1,178,7.0,0.39464168644573433
0,1,179,9.0,0.3928309498513112
0,1,180,9.0,0.530578872710559
0,1,181,8.0,0.41472312818658724
0,1,182,9.0,0.48519666146358975
0,1,183,9.0,0.5185335863740287
0,1,184,8.0,0.5128556855600728
0,1,185,8.0,0.5208255625626058
0,1,186,9.0,0.38134898959152996
0,1,187,9.0,0.5528064038303714
0,1,188,8.0,0.5282709586228832
0,1,189,9.0,0.45195277546420054
0,1,190,8.0,0.47441920293106893
0,1,191,9.0,0.4836766590350247
0,1,192,8.0,0.4645615926823388
0,1,193,8.0,0.5234342264577517
0,1,194,9.0,0.502230513477998
0,1,195,9.0,0.4946780438457225
0,1,196,9.0,0.42342260270060345
