instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,0,0.0
0,1,5,0,0.0
0,1,6,2.0,0.563721391080927
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,0,0.0
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,0,0.0
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,0,0.0
0,1,25,0,0.0
0,1,26,0,0.0
0,1,27,0,0.0
0,1,28,0,0.0
0,1,29,0,0.0
0,1,30,0,0.0
0,1,31,0,0.0
0,1,32,2.0,0.5868454430504318
0,1,33,0,0.0
0,1,34,0,0.0
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,0,0.0
0,1,38,0,0.0
0,1,39,0,0.0
0,1,40,2.0,0.623322162898285
0,1,41,0,0.0
0,1,42,0,0.0
0,1,43,0,0.0
0,1,44,0,0.0
0,1,45,0,0.0
0,1,46,0,0.0
0,1,47,0,0.0
0,1,48,0,0.0
0,1,49,2.0,0.6424021491295828
0,1,50,0,0.0
0,1,51,0,0.0
0,1,52,0,0.0
0,1,53,0,0.0
0,1,54,0,0.0
0,1,55,0,0.0
0,1,56,2.0,0.7394592752994529
0,1,57,2.0,0.30535946455181234
0,1,58,2.0,0.4128150742348272
0,1,59,2.0,1.127810380904775
0,1,60,4.0,1.5288372042617915
0,1,61,0,0.0
0,1,62,2.0,0.5809769886199275
0,1,63,0,0.0
0,1,64,2.0,0.8684626535836233
0,1,65,6.0,2.5812477816171664
0,1,66,6.0,2.363939015590398
0,1,67,2.0,0.3023058699062942
0,1,68,6.0,1.5839194386688307
0,1,69,6.0,3.5256540997024737
0,1,70,10.0,3.802114819840881
0,1,71,12.0,4.905981690060337
0,1,72,10.0,4.2269264542279155
0,1,73,8.0,2.4477045484800635
0,1,74,2.0,1.5400862916103102
0,1,75,8.0,2.295904636411024
0,1,76,8.0,2.7861065707063486
0,1,77,6.0,1.5518363310110301
0,1,78,14.0,5.388817658613156
0,1,79,14.0,5.7562747564819
0,1,80,14.0,4.577306839611613
0,1,81,14.0,5.754850965026643
0,1,82,14.0,5.44695427446094
0,1,83,2.0,1.4499606719157068
0,1,84,12.0,4.436442654532509
0,1,85,14.0,6.128657953838054
0,1,86,14.0,5.36067040965885
0,1,87,14.0,5.989992488686346
0,1,88,12.0,4.712431181530791
0,1,89,12.0,5.118672626057985
0,1,90,10.0,4.072918199500184
0,1,91,14.0,5.487710026790908
0,1,92,12.0,5.070288450927024
0,1,93,14.0,5.24958103680627
0,1,94,14.0,4.81742740729346
0,1,95,14.0,5.619829448703689
0,1,96,0,0.0
0,1,97,14.0,5.421424323212669
0,1,98,12.0,5.067681401557537
0,1,99,14.0,5.522452706220498
0,1,100,12.0,4.505428090852192
0,1,101,12.0,4.3629091077245015
0,1,102,12.0,4.997589114724019
0,1,103,16.0,6.110289004962726
0,1,104,12.0,5.072175991508006
0,1,105,12.0,5.153202596848458
0,1,106,14.0,5.461164656067169
0,1,107,14.0,5.279310746817238
0,1,108,14.0,5.705842093765639
0,1,109,12.0,5.304272656508176
0,1,110,14.0,5.673773226020482
0,1,111,14.0,5.646156253959413
0,1,112,12.0,5.176923399553239
0,1,113,14.0,5.249569042777118
0,1,114,12.0,4.643647103171247
0,1,115,14.0,5.30742337416831
0,1,116,14.0,5.669414210388984
0,1,117,14.0,5.310201777475551
0,1,118,14.0,5.452753405657034
0,1,119,12.0,5.00543356403534
0,1,120,14.0,5.150580064141548
0,1,121,12.0,4.514656962754066
0,1,122,14.0,5.482051405898461
0,1,123,14.0,5.927969102173767
0,1,124,14.0,5.965659096547471
0,1,125,14.0,5.387056275105656
0,1,126,14.0,5.298529587503484
0,1,127,14.0,5.074337707233599
0,1,128,14.0,5.552562877486774
0,1,129,14.0,5.111844698641707
0,1,130,14.0,5.367840358976713
0,1,131,12.0,4.949249192366698
0,1,132,12.0,4.807911085478635
0,1,133,14.0,5.282673803018537
0,1,134,14.0,5.1306370556611265
0,1,135,14.0,5.538753347782021
0,1,136,14.0,5.810763944869473
0,1,137,12.0,4.924959275183139
0,1,138,14.0,5.6287694773742265
0,1,139,14.0,5.307976196546225
0,1,140,14.0,5.661875257390493
0,1,141,14.0,5.726374225806754
0,1,142,12.0,5.547644178090891
0,1,143,12.0,4.739724243852974
0,1,144,14.0,5.666800105322097
0,1,145,14.0,5.21017091771225
0,1,146,14.0,5.395090146041969
0,1,147,14.0,5.641836577332097
0,1,148,12.0,4.667588536377021
0,1,149,14.0,5.516836886938826
0,1,150,14.0,5.2481948633994335
0,1,151,14.0,5.760543907086705
0,1,152,14.0,5.425634678781244
0,1,153,14.0,5.187723112748218
0,1,154,14.0,5.214719005940033
0,1,155,14.0,5.374724493635789
0,1,156,12.0,5.2925733041164555
0,1,157,12.0,4.905526929653386
0,1,158,12.0,4.501267594107061
0,1,159,10.0,4.0901417830301945
0,1,160,8.0,3.3944500319751265
0,1,161,4.0,2.0321517650779746
0,1,162,6.0,1.6268464788446781
0,1,163,12.0,5.016753549210988
0,1,164,10.0,3.605298323423487
0,1,165,8.0,4.0074445821820595
0,1,166,10.0,3.693582317447783
0,1,167,12.0,5.218920212532983
0,1,168,10.0,3.406963284773266
0,1,169,8.0,2.3059991171598537
0,1,170,10.0,3.8014469968444926
0,1,171,14.0,5.143731445642862
0,1,172,12.0,4.334906789510199
0,1,173,10.0,3.4453696713540745
0,1,174,14.0,5.820082981411789
0,1,175,14.0,5.368503586114824
0,1,176,14.0,5.362228804838003
0,1,177,14.0,5.167927061734854
0,1,178,12.0,4.766747073482177
0,1,179,14.0,5.120656959178944
0,1,180,14.0,5.311436179392342
