instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,2.0,0.5469783020444324
0,1,5,0,0.0
0,1,6,0,0.0
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,0,0.0
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,2.0,0.408686923492479
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,0,0.0
0,1,25,0,0.0
0,1,26,0,0.0
0,1,27,0,0.0
0,1,28,0,0.0
0,1,29,2.0,1.2100121342750727
0,1,30,2.0,0.2706660098140641
0,1,31,2.0,0.3309251913294695
0,1,32,0,0.0
0,1,33,2.0,0.5307324994954107
0,1,34,2.0,0.9797805460084098
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,2.0,0.27895113755045
0,1,38,2.0,1.162332828236219
0,1,39,0,0.0
0,1,40,2.0,1.5400862916103102
0,1,41,2.0,0.7933556128440502
0,1,42,2.0,1.1053669543247702
0,1,43,4.0,1.9941172575312378
0,1,44,0,0.0
0,1,45,6.0,2.3864638047395035
0,1,46,4.0,1.2267420543341947
0,1,47,2.0,0.7697921577869691
0,1,48,6.0,1.6591560244718009
0,1,49,4.0,1.9849512598202976
0,1,50,0,0.0
0,1,51,2.0,0.675508801797804
0,1,52,8.0,3.173977788015412
0,1,53,2.0,0.47518510957658605
0,1,54,2.0,1.0833701519337071
0,1,55,6.0,2.407301051606165
0,1,56,0,0.0
0,1,57,4.0,1.2217348640028243
0,1,58,2.0,1.5713562816144375
0,1,59,6.0,2.362431762323169
0,1,60,6.0,1.856341960920399
0,1,61,4.0,1.0678535555876203
0,1,62,8.0,3.9531261060209095
0,1,63,4.0,2.025127890649435
0,1,64,4.0,1.0403070863678074
0,1,65,6.0,1.891709643744367
0,1,66,4.0,2.1103230314629307
0,1,67,2.0,1.6032611790780917
0,1,68,10.0,3.964004738773373
0,1,69,4.0,2.2739445992657767
0,1,70,0,0.0
0,1,71,0,0.0
0,1,72,12.0,4.159294431455665
0,1,73,4.0,0.8335746106054356
0,1,74,12.0,5.287365959529554
0,1,75,10.0,5.114644582348061
0,1,76,12.0,5.347448597906048
0,1,77,8.0,3.7011287689925956
0,1,78,2.0,1.6358138751944615
0,1,79,6.0,2.547201047364901
0,1,80,6.0,1.0015700030443493
0,1,81,6.0,1.9967048034103667
0,1,82,6.0,3.4814389745325816
0,1,83,4.0,0.8782088812512391
0,1,84,4.0,0.7163035843909178
0,1,85,10.0,4.580955835444642
0,1,86,10.0,3.7428640932635986
0,1,87,10.0,3.5991163067270038
0,1,88,12.0,3.720154673983119
0,1,89,12.0,4.116908388820328
0,1,90,10.0,5.825781507704051
0,1,91,6.0,2.103763785909418
0,1,92,12.0,4.775121892049151
0,1,93,12.0,5.242048023377389
0,1,94,2.0,0.3084439035876892
0,1,95,6.0,1.736017870617213
0,1,96,8.0,2.9454815202805977
0,1,97,2.0,0.2962899830951589
0,1,98,10.0,4.152421540565605
0,1,99,8.0,3.5267798008028497
0,1,100,10.0,4.695253343230495
0,1,101,10.0,5.120202560290158
0,1,102,8.0,3.2795856104324823
0,1,103,12.0,5.549404819772382
0,1,104,12.0,3.677370568823886
0,1,105,18.0,7.0168090516004655
0,1,106,12.0,5.33712665827262
0,1,107,16.0,6.437799906163978
0,1,108,6.0,3.2759613225030977
0,1,109,16.0,6.1567473295387
0,1,110,16.0,6.004589020272775
0,1,111,10.0,4.033284899483323
0,1,112,14.0,5.835706196158051
0,1,113,14.0,4.891437962870521
0,1,114,14.0,5.69035714484951
0,1,115,12.0,5.520630734809341
0,1,116,10.0,5.377176784918924
0,1,117,14.0,4.72152945928893
0,1,118,12.0,5.089708693172511
0,1,119,10.0,3.9365263228083904
0,1,120,16.0,6.7370085384808265
0,1,121,14.0,5.176596656833776
0,1,122,10.0,3.54048066904146
0,1,123,14.0,6.7561267820285265
0,1,124,12.0,5.65434762181172
0,1,125,12.0,4.423801857091254
0,1,126,14.0,5.142683256212087
0,1,127,16.0,6.1486335490602455
0,1,128,14.0,5.999903692713133
0,1,129,16.0,5.997184056255019
0,1,130,8.0,4.912876698841856
0,1,131,10.0,3.659422402482896
0,1,132,12.0,4.726017603334622
0,1,133,14.0,6.206683623702829
0,1,134,14.0,5.75920029895988
0,1,135,16.0,6.39507763471558
0,1,136,16.0,6.645071459423194
0,1,137,16.0,6.151888992837448
0,1,138,18.0,7.24441430978975
0,1,139,6.0,3.719124768480736
0,1,140,18.0,6.914065514124141
0,1,141,10.0,5.030820521717429
0,1,142,12.0,3.941995904714855
0,1,143,8.0,3.6463586557356864
0,1,144,10.0,4.030034321739379
0,1,145,14.0,5.727417789588253
0,1,146,12.0,5.714262079770993
0,1,147,18.0,7.439754461605292
0,1,148,12.0,4.290874012074984
0,1,149,12.0,3.9220639899548955
0,1,150,16.0,6.756856117743245
0,1,151,16.0,6.451521517759494
0,1,152,8.0,2.8792193417896477
0,1,153,8.0,1.9670207516546014
0,1,154,14.0,6.442471591607783
0,1,155,14.0,5.922226355630492
0,1,156,10.0,4.724510893860546
0,1,157,14.0,5.359942085146029
0,1,158,12.0,4.309751857073973
0,1,159,16.0,5.514073048128447
0,1,160,12.0,4.321951751482474
0,1,161,8.0,2.705318168444598
0,1,162,6.0,1.624732755324369
0,1,163,12.0,3.6001877489104492
0,1,164,16.0,6.752283872602595
0,1,165,14.0,5.472898600867075
0,1,166,10.0,3.2097331235197575
0,1,167,14.0,5.520759776155535
0,1,168,8.0,4.47120850887686
0,1,169,12.0,5.1263997227551865
0,1,170,16.0,6.32899051248671
0,1,171,6.0,3.418818449582595
0,1,172,12.0,4.9266787918608745
0,1,173,10.0,4.110293205712774
