instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,0,0.0
0,1,5,0,0.0
0,1,6,0,0.0
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,0,0.0
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,0,0.0
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,0,0.0
0,1,25,0,0.0
0,1,26,0,0.0
0,1,27,2.0,0.7854220567156097
0,1,28,0,0.0
0,1,29,0,0.0
0,1,30,0,0.0
0,1,31,0,0.0
0,1,32,0,0.0
0,1,33,0,0.0
0,1,34,0,0.0
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,0,0.0
0,1,38,0,0.0
0,1,39,0,0.0
0,1,40,0,0.0
0,1,41,0,0.0
0,1,42,0,0.0
0,1,43,0,0.0
0,1,44,0,0.0
0,1,45,0,0.0
0,1,46,0,0.0
0,1,47,0,0.0
0,1,48,0,0.0
0,1,49,0,0.0
0,1,50,0,0.0
0,1,51,0,0.0
0,1,52,0,0.0
0,1,53,0,0.0
0,1,54,0,0.0
0,1,55,2.0,0.35504505351752685
0,1,56,0,0.0
0,1,57,0,0.0
0,1,58,0,0.0
0,1,59,0,0.0
0,1,60,0,0.0
0,1,61,0,0.0
0,1,62,0,0.0
0,1,63,2.0,0.7394592752994529
0,1,64,0,0.0
0,1,65,0,0.0
0,1,66,0,0.0
0,1,67,2.0,0.9699827405483257
0,1,68,2.0,0.3342678700297672
0,1,69,0,0.0
0,1,70,0,0.0
0,1,71,0,0.0
0,1,72,0,0.0
0,1,73,0,0.0
0,1,74,0,0.0
0,1,75,0,0.0
0,1,76,0,0.0
0,1,77,0,0.0
0,1,78,0,0.0
0,1,79,0,0.0
0,1,80,0,0.0
0,1,81,2.0,0.3659130366181217
0,1,82,0,0.0
0,1,83,0,0.0
0,1,84,0,0.0
0,1,85,0,0.0
0,1,86,0,0.0
0,1,87,0,0.0
0,1,88,0,0.0
0,1,89,0,0.0
0,1,90,0,0.0
0,1,91,0,0.0
0,1,92,0,0.0
0,1,93,0,0.0
0,1,94,2.0,0.2706660098140641
0,1,95,0,0.0
0,1,96,0,0.0
0,1,97,0,0.0
0,1,98,0,0.0
0,1,99,0,0.0
0,1,100,2.0,0.4384745387329446
0,1,101,0,0.0
0,1,102,0,0.0
0,1,103,0,0.0
0,1,104,0,0.0
0,1,105,0,0.0
0,1,106,2.0,0.45646092027068136
0,1,107,0,0.0
0,1,108,0,0.0
0,1,109,2.0,0.8772350036198215
0,1,110,0,0.0
0,1,111,0,0.0
0,1,112,0,0.0
0,1,113,0,0.0
0,1,114,0,0.0
0,1,115,0,0.0
0,1,116,2.0,0.5987607826246626
0,1,117,0,0.0
0,1,118,0,0.0
0,1,119,2.0,0.2761616261749455
0,1,120,0,0.0
0,1,121,0,0.0
0,1,122,0,0.0
0,1,123,2.0,0.39258302804605055
0,1,124,0,0.0
0,1,125,2.0,0.3696091278970926
0,1,126,0,0.0
0,1,127,0,0.0
0,1,128,2.0,0.3309251913294695
0,1,129,0,0.0
0,1,130,0,0.0
0,1,131,2.0,0.7854220567156097
0,1,132,0,0.0
0,1,133,2.0,0.696186228984884
0,1,134,2.0,0.4996741129169054
0,1,135,0,0.0
0,1,136,0,0.0
0,1,137,2.0,0.5868454430504318
0,1,138,2.0,0.6424021491295828
0,1,139,0,0.0
0,1,140,0,0.0
0,1,141,0,0.0
0,1,142,0,0.0
0,1,143,0,0.0
0,1,144,2.0,0.6109180518566092
0,1,145,2.0,0.273400009913196
0,1,146,0,0.0
0,1,147,2.0,0.5201709227554521
0,1,148,2.0,0.5360934338337482
0,1,149,0,0.0
0,1,150,2.0,0.31155949857342347
0,1,151,0,0.0
0,1,152,0,0.0
0,1,153,4.0,1.6642473166640186
0,1,154,0,0.0
0,1,155,2.0,0.7775678361484536
0,1,156,0,0.0
0,1,157,0,0.0
0,1,158,0,0.0
0,1,159,2.0,0.39258302804605055
0,1,160,0,0.0
0,1,161,0,0.0
0,1,162,0,0.0
0,1,163,0,0.0
0,1,164,0,0.0
0,1,165,0,0.0
0,1,166,2.0,0.30535946455181234
0,1,167,2.0,0.6170889412693021
0,1,168,2.0,0.5580841771701177
0,1,169,2.0,1.197912012932322
0,1,170,0,0.0
0,1,171,0,0.0
0,1,172,0,0.0
0,1,173,0,0.0
0,1,174,2.0,0.9317615503395867
0,1,175,0,0.0
0,1,176,0,0.0
0,1,177,0,0.0
0,1,178,2.0,0.842668444309536
0,1,179,0,0.0
0,1,180,2.0,0.623322162898285
0,1,181,0,0.0
0,1,182,0,0.0
0,1,183,2.0,0.635978127638287
0,1,184,2.0,0.5149692135278975
0,1,185,2.0,0.4046000542575542
0,1,186,2.0,0.5987607826246626
0,1,187,2.0,0.8094639453566476
0,1,188,2.0,0.8176403488450985
0,1,189,0,0.0
0,1,190,2.0,0.2962899830951589
0,1,191,0,0.0
0,1,192,2.0,0.635978127638287
0,1,193,0,0.0
0,1,194,0,0.0
0,1,195,0,0.0
0,1,196,2.0,0.5415085190239881
0,1,197,2.0,0.8094639453566476
0,1,198,0,0.0
0,1,199,2.0,0.44290357447772183
0,1,200,0,0.0
0,2,1,0,0.0
0,2,2,0,0.0
0,2,3,0,0.0
0,2,4,0,0.0
0,2,5,0,0.0
0,2,6,2.0,0.2962899830951589
0,2,7,0,0.0
0,2,8,0,0.0
0,2,9,0,0.0
0,2,10,0,0.0
0,2,11,0,0.0
0,2,12,0,0.0
0,2,13,0,0.0
0,2,14,0,0.0
0,2,15,0,0.0
0,2,16,2.0,0.429748895412159
0,2,17,0,0.0
0,2,18,0,0.0
0,2,19,0,0.0
