instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,0,0.0
0,1,5,0,0.0
0,1,6,0,0.0
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,2.0,0.3084439035876892
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,0,0.0
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,0,0.0
0,1,25,0,0.0
0,1,26,0,0.0
0,1,27,0,0.0
0,1,28,0,0.0
0,1,29,0,0.0
0,1,30,2.0,0.44290357447772183
0,1,31,0,0.0
0,1,32,0,0.0
0,1,33,0,0.0
0,1,34,0,0.0
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,0,0.0
0,1,38,0,0.0
0,1,39,0,0.0
0,1,40,0,0.0
0,1,41,2.0,0.7247440357209938
0,1,42,0,0.0
0,1,43,0,0.0
0,1,44,0,0.0
0,1,45,2.0,0.8094639453566476
0,1,46,0,0.0
0,1,47,0,0.0
0,1,48,0,0.0
0,1,49,0,0.0
0,1,50,0,0.0
0,1,51,0,0.0
0,1,52,0,0.0
0,1,53,0,0.0
0,1,54,0,0.0
0,1,55,2.0,0.6109180518566092
0,1,56,0,0.0
0,1,57,2.0,0.6892243666950352
0,1,58,2.0,0.429748895412159
0,1,59,0,0.0
0,1,60,2.0,0.2874898743072496
0,1,61,2.0,0.44290357447772183
0,1,62,0,0.0
0,1,63,0,0.0
0,1,64,0,0.0
0,1,65,0,0.0
0,1,66,0,0.0
0,1,67,2.0,0.8772350036198215
0,1,68,0,0.0
0,1,69,0,0.0
0,1,70,2.0,0.5201709227554521
0,1,71,2.0,0.7469285609085383
0,1,72,0,0.0
0,1,73,2.0,0.31470656421557924
0,1,74,4.0,0.9495560509492773
0,1,75,2.0,0.39258302804605055
0,1,76,0,0.0
0,1,77,2.0,1.1165322770957273
0,1,78,0,0.0
0,1,79,0,0.0
0,1,80,0,0.0
0,1,81,0,0.0
0,1,82,2.0,0.6620661766420277
0,1,83,0,0.0
0,1,84,0,0.0
0,1,85,2.0,0.26795934971592344
0,1,86,2.0,0.635978127638287
0,1,87,0,0.0
0,1,88,0,0.0
0,1,89,2.0,0.668753713779826
0,1,90,0,0.0
0,1,91,0,0.0
0,1,92,2.0,0.8013693059030811
0,1,93,2.0,0.2874898743072496
0,1,94,2.0,0.8772350036198215
0,1,95,2.0,1.0833701519337071
0,1,96,0,0.0
0,1,97,0,0.0
0,1,98,4.0,2.0607788625279553
0,1,99,2.0,0.45189631106797457
0,1,100,2.0,0.7697921577869691
0,1,101,8.0,3.8727779365595976
0,1,102,8.0,3.4973297772666485
0,1,103,4.0,1.3374627397368293
0,1,104,10.0,4.89104491021502
0,1,105,2.0,1.6358138751944615
0,1,106,2.0,0.635978127638287
0,1,107,14.0,5.433030845380059
0,1,108,12.0,4.7058149380891745
0,1,109,14.0,5.244316746935498
0,1,110,16.0,5.901093633732931
0,1,111,8.0,3.479698556759903
0,1,112,14.0,6.010099618005815
0,1,113,14.0,5.507911389534673
0,1,114,16.0,6.825271352413516
0,1,115,14.0,5.856817275835875
0,1,116,12.0,5.68848019759081
0,1,117,14.0,5.525509236319662
0,1,118,4.0,2.78713708139271
0,1,119,16.0,6.2497322198443115
0,1,120,16.0,6.312377352104665
0,1,121,16.0,6.077501597103259
0,1,122,16.0,6.3431478878580565
0,1,123,16.0,6.79576426487735
0,1,124,14.0,5.4273510865711305
0,1,125,16.0,6.763923960314327
0,1,126,18.0,7.1147550017049825
0,1,127,14.0,5.910215550537413
0,1,128,16.0,6.404765171102541
0,1,129,16.0,6.376219055441586
0,1,130,18.0,6.975372859046462
0,1,131,16.0,6.386348168942125
0,1,132,16.0,6.538347869538159
0,1,133,16.0,6.414687244676515
0,1,134,18.0,7.358748559218476
0,1,135,16.0,6.8523613088794715
0,1,136,16.0,6.3125264477778025
0,1,137,16.0,6.54663197355735
0,1,138,16.0,6.0585347243288155
0,1,139,16.0,6.116575811338288
0,1,140,16.0,6.431221785815055
0,1,141,18.0,6.930345917022472
0,1,142,18.0,6.99726162428288
0,1,143,14.0,5.294242139408345
0,1,144,18.0,6.848364855748935
0,1,145,18.0,6.974493210430512
0,1,146,16.0,6.488131566131591
0,1,147,18.0,7.04098234453791
0,1,148,18.0,7.067279891812529
0,1,149,16.0,6.4068752836970715
0,1,150,12.0,5.24713781640485
0,1,151,18.0,6.69127001343915
0,1,152,16.0,6.784410484405296
0,1,153,16.0,6.774178076162274
0,1,154,16.0,6.086598170158852
0,1,155,4.0,2.869561538351242
0,1,156,18.0,7.272575156766413
0,1,157,18.0,6.940498242355252
0,1,158,16.0,6.6247707751088685
0,1,159,16.0,5.797210023800769
0,1,160,16.0,6.314791755447385
0,1,161,18.0,7.054605090904475
0,1,162,16.0,6.75545911732217
0,1,163,18.0,7.384552296766747
0,1,164,18.0,7.080517514470746
0,1,165,16.0,6.403647675675681
0,1,166,18.0,6.814046593772213
0,1,167,18.0,6.928598386227419
0,1,168,18.0,7.183050529573326
0,1,169,18.0,6.634345234963902
0,1,170,18.0,6.757803563424504
0,1,171,18.0,7.228282325196932
0,1,172,16.0,6.114269759741043
0,1,173,18.0,6.706659897259957
0,1,174,18.0,7.181541248124667
0,1,175,18.0,7.095124173451195
0,1,176,18.0,7.060765706009612
0,1,177,18.0,6.7233964647749955
0,1,178,16.0,6.353528391002519
0,1,179,16.0,6.589186975022855
0,1,180,16.0,6.462908454344201
0,1,181,18.0,6.883168935911459
0,1,182,18.0,6.764223291364061
0,1,183,18.0,6.921063332201674
0,1,184,16.0,6.36165648622969
0,1,185,18.0,6.89392375098298
0,1,186,16.0,6.406006288015074
