instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,0,0.0
0,1,5,0,0.0
0,1,6,0,0.0
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,0,0.0
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,0,0.0
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,2.0,1.127810380904775
0,1,25,2.0,0.9602829131428424
0,1,26,0,0.0
0,1,27,2.0,0.7697921577869691
0,1,28,2.0,0.347979656952528
0,1,29,0,0.0
0,1,30,2.0,0.3659130366181217
0,1,31,0,0.0
0,1,32,0,0.0
0,1,33,2.0,0.6424021491295828
0,1,34,0,0.0
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,0,0.0
0,1,38,2.0,0.429748895412159
0,1,39,4.0,1.0690749689942003
0,1,40,0,0.0
0,1,41,0,0.0
0,1,42,2.0,0.6823321230280849
0,1,43,4.0,1.0325592052103616
0,1,44,0,0.0
0,1,45,2.0,0.5098195213926185
0,1,46,4.0,1.6554892732974364
0,1,47,2.0,0.5751672187337282
0,1,48,4.0,2.728924470547768
0,1,49,4.0,1.454728014511817
0,1,50,0,0.0
0,1,51,0,0.0
0,1,52,2.0,1.5872285672873108
0,1,53,4.0,2.042733846714123
0,1,54,6.0,1.551066342132234
0,1,55,6.0,2.2509650968763073
0,1,56,6.0,2.1971205455408156
0,1,57,12.0,4.822818085944388
0,1,58,8.0,4.518632411024448
0,1,59,14.0,5.568504876406435
0,1,60,12.0,5.5101061710461865
0,1,61,18.0,6.817269218453257
0,1,62,14.0,5.315682233178179
0,1,63,14.0,5.522995787091426
0,1,64,2.0,1.5872285672873108
0,1,65,18.0,6.8646075160282365
0,1,66,16.0,6.268605834707758
0,1,67,16.0,6.72476376408252
0,1,68,14.0,5.733164192443996
0,1,69,12.0,5.3663262825323885
0,1,70,16.0,6.9091054783076995
0,1,71,14.0,5.472588311098858
0,1,72,14.0,5.10370314009477
0,1,73,16.0,6.650456708703144
0,1,74,14.0,5.552720502564275
0,1,75,16.0,7.060844932609366
0,1,76,16.0,6.473419674160295
0,1,77,8.0,4.715749053553157
0,1,78,6.0,1.069381959612497
0,1,79,14.0,5.551685025789898
0,1,80,16.0,6.3353119784046275
0,1,81,14.0,5.86486189942394
0,1,82,16.0,6.574599664828756
0,1,83,14.0,6.129213729718622
0,1,84,14.0,5.562136698004341
0,1,85,16.0,6.320790904701038
0,1,86,14.0,6.264190742729537
0,1,87,16.0,6.2567487207975345
0,1,88,14.0,5.585198464807808
0,1,89,18.0,7.0632918795541135
0,1,90,16.0,6.5396148737930595
0,1,91,16.0,6.218341128226214
0,1,92,18.0,6.821387225021088
0,1,93,16.0,6.628255682704621
0,1,94,16.0,6.665752087401001
0,1,95,16.0,6.859569732924715
0,1,96,14.0,5.623105170704313
0,1,97,16.0,6.7761908174909475
0,1,98,18.0,6.885128152452186
0,1,99,14.0,5.881654362881335
0,1,100,14.0,5.865951562326221
0,1,101,16.0,6.896403840486577
0,1,102,18.0,6.939230110165019
0,1,103,16.0,6.574279052847432
0,1,104,16.0,5.991403904299807
0,1,105,14.0,5.387032052638806
0,1,106,16.0,6.3576304286323
0,1,107,14.0,5.15708655417824
0,1,108,18.0,6.726640336233501
0,1,109,14.0,5.499979996671114
0,1,110,16.0,6.5979205381284185
0,1,111,16.0,6.1054324100039645
0,1,112,16.0,6.370656928867694
0,1,113,18.0,7.126240469329462
0,1,114,18.0,6.72281150600112
0,1,115,14.0,6.393445193454632
0,1,116,16.0,6.418497900661783
0,1,117,14.0,5.3669967348617345
0,1,118,16.0,5.954510950925643
0,1,119,18.0,7.086731240446127
0,1,120,16.0,5.995573472908756
0,1,121,14.0,5.279764597804906
0,1,122,16.0,6.358529209710721
0,1,123,16.0,6.516576212896524
0,1,124,14.0,5.4881495472549275
0,1,125,14.0,5.788864636156941
0,1,126,18.0,7.290415502601019
0,1,127,14.0,5.51758238057907
0,1,128,18.0,6.5781295358142
0,1,129,16.0,6.6179587858863185
0,1,130,16.0,5.81436866615292
0,1,131,16.0,6.450424293690172
0,1,132,12.0,4.366680825221386
0,1,133,14.0,5.267163240547757
0,1,134,16.0,6.1748100119069935
0,1,135,14.0,5.005485258641832
0,1,136,12.0,4.28429615283772
0,1,137,10.0,4.463328168451341
0,1,138,8.0,3.6278320932350825
0,1,139,8.0,2.452457172689416
0,1,140,6.0,2.183809949495361
0,1,141,8.0,3.201406963714439
0,1,142,12.0,4.314030306400547
0,1,143,10.0,4.38813433288053
0,1,144,10.0,4.514579057520069
0,1,145,12.0,4.60482850141433
0,1,146,6.0,2.020643187115126
0,1,147,12.0,4.0553962663286764
0,1,148,14.0,5.261162825960367
0,1,149,10.0,3.2822139248264373
0,1,150,6.0,2.132686319956404
0,1,151,8.0,3.1411235853197677
0,1,152,4.0,1.7749538022392952
0,1,153,4.0,1.9734551416948183
0,1,154,4.0,1.2216884688549436
0,1,155,6.0,2.7868621135829406
0,1,156,8.0,2.9982887898695454
0,1,157,8.0,3.307092127585565
0,1,158,10.0,4.333523859103098
0,1,159,6.0,1.8620600652666548
0,1,160,6.0,2.3832232293120628
0,1,161,6.0,2.713419956059185
0,1,162,6.0,1.54562789687882
0,1,163,6.0,3.2508274192131976
0,1,164,0,0.0
0,1,165,10.0,4.217241483585831
0,1,166,6.0,2.211202368773712
0,1,167,2.0,0.6620661766420277
0,1,168,0,0.0
0,1,169,4.0,2.132148999175529
0,1,170,2.0,0.408686923492479
0,1,171,6.0,2.250326026921161
0,1,172,0,0.0
0,1,173,4.0,1.3641169558165205
0,1,174,4.0,1.1505957610733393
0,1,175,6.0,1.5557124021547795
