instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,0,0.0
0,1,5,0,0.0
0,1,6,0,0.0
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,0,0.0
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,0,0.0
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,0,0.0
0,1,25,0,0.0
0,1,26,0,0.0
0,1,27,0,0.0
0,1,28,0,0.0
0,1,29,0,0.0
0,1,30,0,0.0
0,1,31,0,0.0
0,1,32,0,0.0
0,1,33,0,0.0
0,1,34,0,0.0
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,0,0.0
0,1,38,2.0,0.4005540537149786
0,1,39,0,0.0
0,1,40,0,0.0
0,1,41,0,0.0
0,1,42,0,0.0
0,1,43,0,0.0
0,1,44,0,0.0
0,1,45,0,0.0
0,1,46,0,0.0
0,1,47,0,0.0
0,1,48,0,0.0
0,1,49,0,0.0
0,1,50,0,0.0
0,1,51,2.0,0.47043325848082024
0,1,52,0,0.0
0,1,53,0,0.0
0,1,54,2.0,0.6554455148756074
0,1,55,2.0,0.465728925896012
0,1,56,0,0.0
0,1,57,0,0.0
0,1,58,0,0.0
0,1,59,0,0.0
0,1,60,0,0.0
0,1,61,0,0.0
0,1,62,0,0.0
0,1,63,0,0.0
0,1,64,2.0,0.3410548617791727
0,1,65,0,0.0
0,1,66,2.0,0.45646092027068136
0,1,67,2.0,0.5469783020444324
0,1,68,0,0.0
0,1,69,0,0.0
0,1,70,0,0.0
0,1,71,0,0.0
0,1,72,0,0.0
0,1,73,0,0.0
0,1,74,0,0.0
0,1,75,0,0.0
0,1,76,0,0.0
0,1,77,0,0.0
0,1,78,2.0,0.6296183463619041
0,1,79,0,0.0
0,1,80,0,0.0
0,1,81,0,0.0
0,1,82,0,0.0
0,1,83,0,0.0
0,1,84,0,0.0
0,1,85,0,0.0
0,1,86,0,0.0
0,1,87,0,0.0
0,1,88,0,0.0
0,1,89,0,0.0
0,1,90,2.0,0.7394592752994529
0,1,91,2.0,0.5201709227554521
0,1,92,2.0,0.8950464275276212
0,1,93,0,0.0
0,1,94,0,0.0
0,1,95,0,0.0
0,1,96,0,0.0
0,1,97,2.0,0.45646092027068136
0,1,98,0,0.0
0,1,99,0,0.0
0,1,100,0,0.0
0,1,101,2.0,0.347979656952528
0,1,102,0,0.0
0,1,103,0,0.0
0,1,104,0,0.0
0,1,105,0,0.0
0,1,106,2.0,0.32761593941617484
0,1,107,2.0,0.3659130366181217
0,1,108,2.0,0.2706660098140641
0,1,109,2.0,0.32109638222179293
0,1,110,0,0.0
0,1,111,0,0.0
0,1,112,0,0.0
0,1,113,2.0,0.39258302804605055
0,1,114,2.0,0.5307324994954107
0,1,115,0,0.0
0,1,116,2.0,0.7544732938470083
0,1,117,0,0.0
0,1,118,2.0,0.46107163663705186
0,1,119,2.0,0.4996741129169054
0,1,120,2.0,0.7620942362090993
0,1,121,0,0.0
0,1,122,0,0.0
0,1,123,0,0.0
0,1,124,4.0,1.2307165598355638
0,1,125,2.0,0.28176882580853535
0,1,126,2.0,0.3622539062519405
0,1,127,2.0,1.0943132847815225
0,1,128,4.0,1.349508625117646
0,1,129,8.0,2.266506310564295
0,1,130,2.0,0.4799849591682688
0,1,131,6.0,2.7743569772609935
0,1,132,4.0,1.3884674695008887
0,1,133,2.0,0.7394592752994529
0,1,134,6.0,2.7056049901510675
0,1,135,6.0,2.402190378493357
0,1,136,8.0,3.0404197392920698
0,1,137,6.0,2.2163226730307115
0,1,138,12.0,4.078692971956444
0,1,139,14.0,5.308386989142933
0,1,140,10.0,3.988324349924456
0,1,141,14.0,5.350972610429929
0,1,142,12.0,4.487758047342878
0,1,143,10.0,3.4428244541475483
0,1,144,12.0,4.773581488840456
0,1,145,14.0,5.2259475593809785
0,1,146,14.0,5.223093156658604
0,1,147,14.0,5.355562876253678
0,1,148,14.0,5.103085284762338
0,1,149,12.0,4.738483418479663
0,1,150,12.0,4.598456593262369
0,1,151,12.0,5.021902010632919
0,1,152,14.0,5.273349996082663
0,1,153,14.0,5.720314040686442
0,1,154,14.0,5.33055807967729
0,1,155,14.0,5.393362284898453
0,1,156,14.0,5.447166721809012
0,1,157,12.0,4.287836428615663
0,1,158,12.0,5.152160138708625
0,1,159,14.0,5.231297140474473
0,1,160,14.0,5.23861989607272
0,1,161,14.0,5.6779571188281714
0,1,162,14.0,5.293255166370935
0,1,163,14.0,5.534614229060196
0,1,164,14.0,5.179024379168347
0,1,165,14.0,5.399772795565708
0,1,166,14.0,5.426380645172589
0,1,167,14.0,5.201551909745478
0,1,168,10.0,4.534092179494027
0,1,169,12.0,4.748508425492456
0,1,170,12.0,4.485618021977148
0,1,171,14.0,5.788870828299945
0,1,172,14.0,5.258514363574954
0,1,173,14.0,5.476059125923252
0,1,174,14.0,5.017084824422547
0,1,175,12.0,4.711091480540415
0,1,176,14.0,5.5648431580223265
0,1,177,14.0,5.188065828355977
0,1,178,14.0,5.295168983870889
0,1,179,12.0,4.835862133101911
0,1,180,14.0,5.438402474890685
0,1,181,14.0,5.14524360284471
0,1,182,12.0,4.79368057418092
0,1,183,14.0,5.4928252579482955
0,1,184,14.0,5.401234974781666
0,1,185,12.0,4.83843675793707
0,1,186,14.0,5.230149541576271
0,1,187,12.0,4.730487555930731
0,1,188,14.0,5.389341072302154
0,1,189,12.0,5.081661280048483
0,1,190,14.0,5.410445319168744
0,1,191,12.0,4.982343218617208
0,1,192,14.0,5.505315944216843
0,1,193,14.0,5.341229491071239
0,1,194,14.0,5.337758387469456
0,1,195,14.0,5.406517864872689
