instance,task,episode,return,discounted_return
0,1,1,0,0.0
0,1,2,0,0.0
0,1,3,0,0.0
0,1,4,0,0.0
0,1,5,0,0.0
0,1,6,0,0.0
0,1,7,0,0.0
0,1,8,0,0.0
0,1,9,0,0.0
0,1,10,0,0.0
0,1,11,0,0.0
0,1,12,0,0.0
0,1,13,0,0.0
0,1,14,0,0.0
0,1,15,0,0.0
0,1,16,0,0.0
0,1,17,0,0.0
0,1,18,0,0.0
0,1,19,0,0.0
0,1,20,0,0.0
0,1,21,0,0.0
0,1,22,0,0.0
0,1,23,0,0.0
0,1,24,0,0.0
0,1,25,0,0.0
0,1,26,0,0.0
0,1,27,0,0.0
0,1,28,0,0.0
0,1,29,0,0.0
0,1,30,0,0.0
0,1,31,0,0.0
0,1,32,0,0.0
0,1,33,0,0.0
0,1,34,0,0.0
0,1,35,0,0.0
0,1,36,0,0.0
0,1,37,2.0,0.2761616261749455
0,1,38,0,0.0
0,1,39,0,0.0
0,1,40,0,0.0
0,1,41,0,0.0
0,1,42,0,0.0
0,1,43,0,0.0
0,1,44,0,0.0
0,1,45,0,0.0
0,1,46,0,0.0
0,1,47,0,0.0
0,1,48,0,0.0
0,1,49,0,0.0
0,1,50,0,0.0
0,1,51,0,0.0
0,1,52,2.0,0.9317615503395867
0,1,53,0,0.0
0,1,54,0,0.0
0,1,55,0,0.0
0,1,56,0,0.0
0,1,57,2.0,0.5809769886199275
0,1,58,0,0.0
0,1,59,0,0.0
0,1,60,0,0.0
0,1,61,0,0.0
0,1,62,2.0,0.3514946029823516
0,1,63,0,0.0
0,1,64,0,0.0
0,1,65,0,0.0
0,1,66,2.0,0.3622539062519405
0,1,67,0,0.0
0,1,68,2.0,0.2874898743072496
0,1,69,0,0.0
0,1,70,0,0.0
0,1,71,0,0.0
0,1,72,0,0.0
0,1,73,0,0.0
0,1,74,2.0,0.7320646825464584
0,1,75,2.0,0.8013693059030811
0,1,76,0,0.0
0,1,77,2.0,0.3444998603830028
0,1,78,2.0,0.5469783020444324
0,1,79,0,0.0
0,1,80,0,0.0
0,1,81,2.0,0.5047213261786924
0,1,82,2.0,1.197912012932322
0,1,83,2.0,0.4473773479572948
0,1,84,0,0.0
0,1,85,6.0,2.091653260699495
0,1,86,0,0.0
0,1,87,4.0,2.08477676307241
0,1,88,0,0.0
0,1,89,4.0,2.01390634415712
0,1,90,2.0,1.524685428694207
0,1,91,4.0,2.43840881406462
0,1,92,6.0,2.3332843844586635
0,1,93,4.0,2.6610096731230635
0,1,94,10.0,3.4063315180379123
0,1,95,8.0,2.675942025119509
0,1,96,0,0.0
0,1,97,4.0,2.765594007314311
0,1,98,0,0.0
0,1,99,0,0.0
0,1,100,4.0,2.1665607706549026
0,1,101,6.0,3.2722440326553968
0,1,102,6.0,3.459072206965076
0,1,103,8.0,3.1165206213324184
0,1,104,4.0,2.490265541932845
0,1,105,4.0,2.790223000682869
0,1,106,6.0,3.507345250350239
0,1,107,8.0,3.984466419097798
0,1,108,6.0,2.6068740013007043
0,1,109,8.0,3.3471026964619752
0,1,110,8.0,2.6278944805060114
0,1,111,14.0,5.5300833082711955
0,1,112,6.0,3.611978488057005
0,1,113,12.0,4.669887226347218
0,1,114,12.0,4.808566443538008
0,1,115,0,0.0
0,1,116,10.0,3.0025498844267413
0,1,117,10.0,3.8063073343177214
0,1,118,12.0,4.428182240364022
0,1,119,12.0,4.520924568573452
0,1,120,2.0,1.3514580981205662
0,1,121,10.0,3.7330502273549873
0,1,122,0,0.0
0,1,123,12.0,4.428362994576073
0,1,124,10.0,4.3121704511497265
0,1,125,12.0,4.693828606015813
0,1,126,10.0,4.912685530094803
0,1,127,12.0,3.8274288321225605
0,1,128,12.0,5.106966356238848
0,1,129,10.0,3.4157372340643497
0,1,130,10.0,3.9665725258877322
0,1,131,10.0,4.404665456125632
0,1,132,2.0,1.4068953899991383
0,1,133,2.0,1.4068953899991383
0,1,134,6.0,2.774325814093639
0,1,135,12.0,4.3493641398229475
0,1,136,2.0,1.5872285672873108
0,1,137,14.0,5.503744903847042
0,1,138,6.0,3.371976095981926
0,1,139,12.0,4.9190711027323974
0,1,140,16.0,6.2077412023430085
0,1,141,12.0,3.660958565018292
0,1,142,10.0,3.212457012519411
0,1,143,0,0.0
0,1,144,12.0,4.946392787846099
0,1,145,10.0,3.716123865990033
0,1,146,12.0,4.98963620656151
0,1,147,2.0,1.4499606719157068
0,1,148,14.0,5.042735972505321
0,1,149,12.0,5.394954473190154
0,1,150,14.0,5.351822818668943
0,1,151,14.0,5.288077816966483
0,1,152,12.0,4.1142755327076355
0,1,153,12.0,5.128108949085526
0,1,154,10.0,4.232464338624645
0,1,155,14.0,5.873524129547606
0,1,156,12.0,3.899345121328238
0,1,157,12.0,5.2741927132021145
0,1,158,14.0,5.138224352312374
0,1,159,10.0,4.066661236281162
0,1,160,10.0,4.268395964433816
0,1,161,12.0,4.93726488382816
0,1,162,2.0,1.3379435171393605
0,1,163,10.0,4.213343636384401
0,1,164,14.0,5.6407308913604215
0,1,165,14.0,5.32032679372823
0,1,166,12.0,5.138756886025615
0,1,167,12.0,4.934653714615345
0,1,168,12.0,4.351643171964586
0,1,169,12.0,4.803447220413182
0,1,170,10.0,3.5522418394378064
0,1,171,12.0,4.344649314995068
0,1,172,16.0,6.34195075337704
0,1,173,14.0,5.133011139751668
0,1,174,12.0,4.592587831320084
0,1,175,10.0,3.4751251334885946
0,1,176,14.0,5.6552126523889195
0,1,177,12.0,4.853497770099759
0,1,178,10.0,3.70737967697998
0,1,179,14.0,5.67820540178283
0,1,180,12.0,5.1923161319956
0,1,181,14.0,5.523113590692043
0,1,182,10.0,3.9824078897348527
0,1,183,14.0,5.336283814144582
0,1,184,12.0,4.968736823489739
0,1,185,14.0,5.326921482845308
0,1,186,14.0,5.141091939681626
0,1,187,12.0,4.639329896686601
0,1,188,12.0,5.189258223718936
